bun outdated v1.3.6 (d530ed99)
|------------------------------------------------------------------------------------------------------------|
| Package                     | Current         | Update          | Latest          | Workspace              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @vkontakte/vk-bridge        | 2.15.11         | 2.15.12         | 3.0.2           | uni-app                |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| grammy                      | 1.39.2          | 1.46.0          | 1.46.0          | @repo/bot              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| bun-types                   | 1.3.10          | 1.4.2           | 1.4.2           | @repo/proxy            |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| croner                      | 9.1.0           | 9.1.0           | 10.0.1          | @repo/schedule-updater |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @hookform/resolvers         | 5.2.2           | 5.9.1           | 5.9.1           | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @orpc/server                | 1.13.2          | 1.15.0          | 1.15.0          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @sentry/tanstackstart-react | 10.73.0         | 10.74.0         | 10.74.0         | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @tanstack/react-query       | 5.90.16         | 5.102.8         | 5.102.8         | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @tanstack/react-router      | 1.170.32        | 1.170.35        | 1.170.35        | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @tanstack/react-start       | 1.168.49        | 1.168.52        | 1.168.52        | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @tma.js/sdk-react           | 3.0.16          | 3.0.23          | 3.0.23          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @turbo/gen                  | 2.7.3           | 2.10.12         | 2.10.12         | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @types/fabric               | 5.3.10          | 5.3.11          | 5.3.11          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| date-fns                    | 4.1.0           | 4.4.0           | 4.4.0           | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| fabric                      | 7.1.0           | 7.4.0           | 7.4.0           | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| js-cookie                   | 3.0.5           | 3.0.8           | 3.0.8           | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| lottie-react                | 2.4.1           | 2.4.2           | 3.1.2           | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| motion                      | 12.24.11        | 12.43.0         | 13.2.0          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| react                       | 19.2.3          | 19.3.0          | 19.3.0          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| react-dom                   | 19.2.3          | 19.3.0          | 19.3.0          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| react-hook-form             | 7.71.2          | 7.88.0          | 7.88.0          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| sharp                       | 0.34.5          | 0.34.5          | 0.35.4          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| tailwind-merge              | 3.4.0           | 3.6.0           | 3.6.0           | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| three                       | 0.185.1         | 0.185.1         | 0.186.0         | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| zod                         | 4.5.4           | 4.6.2           | 4.6.2           | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| zustand                     | 5.0.9           | 5.0.15          | 5.0.15          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| date-fns                    | 4.1.0           | 4.4.0           | 4.4.0           | @repo/bitrix           |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| ky                          | 1.14.2          | 1.14.3          | 2.1.0           | @repo/bitrix           |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| lodash-es                   | 4.17.22         | 4.18.1          | 4.18.1          | @repo/bitrix           |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| node-html-parser            | 6.1.13          | 6.1.13          | 9.0.4           | @repo/bitrix           |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| prettier                    | 3.7.4           | 3.9.6           | 3.9.6           | @repo/bitrix           |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| drizzle-orm                 | 0.45.1          | 0.45.2          | 0.45.2          | @repo/drizzle          |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| postgres                    | 3.4.8           | 3.4.9           | 3.4.9           | @repo/drizzle          |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| zod                         | 4.5.4           | 4.6.2           | 4.6.2           | @repo/env              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @aws-sdk/client-s3          | 3.1004.0        | 3.1131.0        | 3.1131.0        | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @langchain/core             | 1.1.11          | 1.2.11          | 1.2.11          | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @langchain/google-genai     | 1.0.3           | 1.0.3           | 2.3.2           | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @orpc/client                | 1.13.2          | 1.15.0          | 1.15.0          | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @orpc/server                | 1.13.2          | 1.15.0          | 1.15.0          | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @orpc/tanstack-query        | 1.13.2          | 1.15.0          | 1.15.0          | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @tma.js/init-data-node      | 2.0.6           | 2.0.8           | 2.0.8           | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @vkontakte/vk-bridge        | 2.15.11         | 2.15.12         | 3.0.2           | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| date-fns                    | 4.1.0           | 4.4.0           | 4.4.0           | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| ky                          | 1.14.2          | 1.14.3          | 2.1.0           | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| langchain                   | 1.2.6           | 1.5.11          | 1.5.11          | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| sharp                       | 0.34.5          | 0.34.5          | 0.35.4          | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| zod                         | 4.5.4           | 4.6.2           | 4.6.2           | @repo/orpc             |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| date-fns                    | 4.1.0           | 4.4.0           | 4.4.0           | @repo/shared           |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| zod                         | 4.5.4           | 4.6.2           | 4.6.2           | @repo/shared           |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @biomejs/biome (dev)        | 2.3.11          | 2.5.13          | 2.5.13          | uni-app                |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| turbo (dev)                 | 2.7.3           | 2.10.12         | 2.10.12         | uni-app                |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| typescript (dev)            | 5.9.3           | 5.9.3           | 7.0.2           | uni-app                |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @types/bun (dev)            | 1.3.10          | 1.4.2           | 1.4.2           | @repo/bot              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @types/bun (dev)            | 1.3.10          | 1.4.2           | 1.4.2           | @repo/proxy            |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @types/bun (dev)            | 1.3.5           | 1.4.2           | 1.4.2           | @repo/schedule-updater |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
| @storybook/addon-a11y (dev) | 10.5.10         | 10.6.0          | 10.6.0          | @repo/web              |
|-----------------------------|-----------------|-----------------|-----------------|------------------------|
